Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Istanbul,Member,Female,Health and beauty,75,7,26,549,1/5/2019,13:08,Ewallet,523,5,26,9.1
226-31-3081,C,Izmir,Normal,Female,Electronic accessories,15,5,4,80,3/8/2019,10:29,Cash,76,5,4,9.6
631-41-3108,A,Istanbul,Normal,Male,Home and lifestyle,46,7,16,341,3/3/2019,13:23,Credit card,324,5,16,7.4
123-19-1176,A,Istanbul,Member,Male,Health and beauty,58,8,23,489,1/27/2019,20:33,Ewallet,466,5,23,8.4
373-73-7910,A,Istanbul,Normal,Male,Sports and travel,86,7,30,634,2/8/2019,10:37,Ewallet,604,5,30,5.3
699-14-3026,C,Izmir,Normal,Male,Electronic accessories,85,7,30,628,3/25/2019,18:30,Ewallet,598,5,30,4.1
355-53-5943,A,Istanbul,Member,Female,Electronic accessories,69,6,21,434,2/25/2019,14:36,Ewallet,413,5,21,5.8
315-22-5665,C,Izmir,Normal,Female,Home and lifestyle,74,10,37,772,2/24/2019,11:38,Ewallet,736,5,37,8
665-32-9167,A,Istanbul,Member,Female,Health and beauty,36,2,4,76,1/10/2019,17:15,Credit card,73,5,4,7.2
692-92-5582,B,Ankara,Member,Female,Food and beverages,55,3,8,173,2/20/2019,13:27,Credit card,165,5,8,5.9
351-62-0822,B,Ankara,Member,Female,Fashion accessories,14,4,3,61,2/6/2019,18:07,Ewallet,58,5,3,4.5
529-56-3974,B,Ankara,Member,Male,Electronic accessories,26,4,5,107,3/9/2019,17:03,Cash,102,5,5,6.8
365-64-0515,A,Istanbul,Normal,Female,Electronic accessories,47,5,12,246,2/12/2019,10:25,Ewallet,235,5,12,7.1
252-56-2699,A,Istanbul,Normal,Male,Food and beverages,43,10,22,454,2/7/2019,16:48,Ewallet,432,5,22,8.2
829-34-3910,A,Istanbul,Normal,Female,Health and beauty,71,10,36,749,3/29/2019,19:21,Cash,714,5,36,5.7
299-46-1805,B,Ankara,Member,Female,Sports and travel,94,6,28,590,1/15/2019,16:19,Cash,562,5,28,4.5
656-95-9349,A,Istanbul,Member,Female,Health and beauty,69,7,24,507,3/11/2019,11:03,Credit card,483,5,24,4.6
765-26-6951,A,Istanbul,Normal,Male,Sports and travel,73,6,22,457,1/1/2019,10:39,Credit card,436,5,22,6.9
329-62-1586,A,Istanbul,Normal,Male,Food and beverages,55,3,8,172,1/21/2019,18:00,Credit card,164,5,8,8.6
319-50-3348,B,Ankara,Normal,Female,Home and lifestyle,40,2,4,85,3/11/2019,15:30,Ewallet,81,5,4,4.4
300-71-4605,C,Izmir,Member,Male,Electronic accessories,86,5,22,452,2/25/2019,11:24,Ewallet,430,5,22,4.8
371-85-5789,B,Ankara,Normal,Male,Health and beauty,88,3,13,277,3/5/2019,10:40,Ewallet,264,5,13,5.1
273-16-6619,B,Ankara,Normal,Male,Home and lifestyle,33,2,3,70,3/15/2019,12:20,Credit card,66,5,3,4.4
636-48-8204,A,Istanbul,Normal,Male,Electronic accessories,35,5,9,181,2/17/2019,11:15,Ewallet,173,5,9,9.9
549-59-1358,A,Istanbul,Member,Male,Sports and travel,89,3,13,279,3/2/2019,17:36,Ewallet,266,5,13,6
227-03-5010,A,Istanbul,Member,Female,Home and lifestyle,53,8,21,442,3/22/2019,19:20,Credit card,421,5,21,8.5
649-29-6775,B,Ankara,Normal,Male,Fashion accessories,34,1,2,35,2/8/2019,15:31,Cash,34,5,2,6.7
189-17-4241,A,Istanbul,Normal,Female,Fashion accessories,88,2,9,184,3/10/2019,12:17,Credit card,175,5,9,7.7
145-94-9061,B,Ankara,Normal,Female,Food and beverages,88,5,22,464,1/25/2019,19:48,Cash,442,5,22,9.6
848-62-7243,A,Istanbul,Normal,Male,Health and beauty,25,9,11,235,3/15/2019,15:36,Cash,224,5,11,7.4
871-79-8483,B,Ankara,Normal,Male,Fashion accessories,94,5,24,494,2/25/2019,19:39,Credit card,471,5,24,4.8
149-71-6266,B,Ankara,Member,Male,Sports and travel,78,9,35,738,1/28/2019,12:43,Cash,703,5,35,4.5
640-49-2076,B,Ankara,Normal,Male,Sports and travel,84,8,34,704,1/10/2019,14:49,Cash,670,5,34,5.1
595-11-5460,A,Istanbul,Normal,Male,Health and beauty,97,2,10,203,3/15/2019,10:12,Credit card,193,5,10,5.1
183-56-6882,C,Izmir,Member,Female,Food and beverages,99,4,20,418,2/6/2019,10:42,Ewallet,398,5,20,7.5
232-16-2483,C,Izmir,Member,Female,Sports and travel,68,1,3,72,1/7/2019,12:28,Ewallet,68,5,3,6.8
129-29-8530,A,Istanbul,Member,Male,Sports and travel,63,5,16,329,3/10/2019,19:15,Ewallet,313,5,16,7
